ID,Email,FirstName,LastName,Country_code,DeliveryDate,OrderStatus,ImageURL,SalesOrder_ID
123e4567-e89b-12d3-a456-426614174000,john.doe@email.com,John,Doe,USA,2023-06-20,1,,
987e6543-e21b-65d3-b459-526614789002,jane.doe@email.com,Jane,Doe,USA,2023-06-21,2,,
678e1234-e59c-34d2-a853-426614895006,robert.smith@email.com,Robert,Smith,GBR,2023-06-22,1,,435e2567-e29b-82d3-a856-526614274050
564e7890-e12d-90f3-b456-426614321007,sarah.jones@email.com,Sarah,Jones,CAN,2023-06-23,3,,
321e6548-e23e-78d9-a459-526614523008,james.brown@email.com,James,Brown,AUS,2023-06-24,1,,
852e1476-e39a-56d3-a456-426614369009,jessica.williams@email.com,Jessica,Williams,USA,2023-06-25,2,,
753e2148-e21c-65d3-a459-526614478010,william.johnson@email.com,William,Johnson,GBR,2023-06-26,3,,
149e7562-e89b-12d3-a456-426614875011,emily.miller@email.com,Emily,Miller,CAN,2023-06-27,1,,
963e8524-e14c-37d3-a459-526614985012,joseph.moore@email.com,Joseph,Moore,AUS,2023-06-28,2,,
574e9632-e25d-89f3-a459-526614789013,linda.taylor@email.com,Linda,Taylor,USA,2023-06-29,3,,
